ts,dt,symbol,price,action
1715558400000000000,2024-05-13 00:00:00,600519.SSE,1706.0,SELL
1715644800000000000,2024-05-14 00:00:00,600519.SSE,1701.98,SELL
1715731200000000000,2024-05-15 00:00:00,600519.SSE,1700.0,SELL
1715817600000000000,2024-05-16 00:00:00,600519.SSE,1704.5,SELL
1715904000000000000,2024-05-17 00:00:00,600519.SSE,1715.0,SELL
1716163200000000000,2024-05-20 00:00:00,600519.SSE,1709.0,SELL
1716249600000000000,2024-05-21 00:00:00,600519.SSE,1705.0,SELL
1716336000000000000,2024-05-22 00:00:00,600519.SSE,1697.71,SELL
1716422400000000000,2024-05-23 00:00:00,600519.SSE,1692.01,SELL
1716508800000000000,2024-05-24 00:00:00,600519.SSE,1677.08,SELL
1716768000000000000,2024-05-27 00:00:00,600519.SSE,1670.12,SELL
1716854400000000000,2024-05-28 00:00:00,600519.SSE,1664.64,SELL
1716940800000000000,2024-05-29 00:00:00,600519.SSE,1674.0,SELL
1717027200000000000,2024-05-30 00:00:00,600519.SSE,1649.0,SELL
1717113600000000000,2024-05-31 00:00:00,600519.SSE,1648.45,SELL
1717372800000000000,2024-06-03 00:00:00,600519.SSE,1639.39,SELL
1717459200000000000,2024-06-04 00:00:00,600519.SSE,1653.2,SELL
1717545600000000000,2024-06-05 00:00:00,600519.SSE,1644.0,SELL
1717632000000000000,2024-06-06 00:00:00,600519.SSE,1639.81,SELL
1717718400000000000,2024-06-07 00:00:00,600519.SSE,1619.18,SELL
1718064000000000000,2024-06-11 00:00:00,600519.SSE,1569.0,SELL
1718150400000000000,2024-06-12 00:00:00,600519.SSE,1571.68,SELL
1718236800000000000,2024-06-13 00:00:00,600519.SSE,1555.01,SELL
1718323200000000000,2024-06-14 00:00:00,600519.SSE,1555.0,SELL
1718582400000000000,2024-06-17 00:00:00,600519.SSE,1541.5,SELL
1718668800000000000,2024-06-18 00:00:00,600519.SSE,1521.5,SELL
1718755200000000000,2024-06-19 00:00:00,600519.SSE,1501.0,SELL
1718841600000000000,2024-06-20 00:00:00,600519.SSE,1500.1,SELL
1718928000000000000,2024-06-21 00:00:00,600519.SSE,1471.0,SELL
1719187200000000000,2024-06-24 00:00:00,600519.SSE,1476.55,SELL
1719273600000000000,2024-06-25 00:00:00,600519.SSE,1486.65,SELL
1719360000000000000,2024-06-26 00:00:00,600519.SSE,1489.22,SELL
1719446400000000000,2024-06-27 00:00:00,600519.SSE,1490.49,SELL
1719532800000000000,2024-06-28 00:00:00,600519.SSE,1467.39,SELL
1719792000000000000,2024-07-01 00:00:00,600519.SSE,1440.38,SELL
1719878400000000000,2024-07-02 00:00:00,600519.SSE,1490.7,SELL
1719964800000000000,2024-07-03 00:00:00,600519.SSE,1500.0,SELL
1720051200000000000,2024-07-04 00:00:00,600519.SSE,1485.74,SELL
1720137600000000000,2024-07-05 00:00:00,600519.SSE,1453.0,SELL
1720396800000000000,2024-07-08 00:00:00,600519.SSE,1420.0,SELL
1720483200000000000,2024-07-09 00:00:00,600519.SSE,1438.03,SELL
1720569600000000000,2024-07-10 00:00:00,600519.SSE,1437.59,SELL
1720656000000000000,2024-07-11 00:00:00,600519.SSE,1462.09,SELL
1720742400000000000,2024-07-12 00:00:00,600519.SSE,1478.82,SELL
1721001600000000000,2024-07-15 00:00:00,600519.SSE,1474.9,SELL
1721088000000000000,2024-07-16 00:00:00,600519.SSE,1476.0,SELL
1721174400000000000,2024-07-17 00:00:00,600519.SSE,1501.4,SELL
1721260800000000000,2024-07-18 00:00:00,600519.SSE,1497.51,SELL
1721347200000000000,2024-07-19 00:00:00,600519.SSE,1525.62,SELL
1721606400000000000,2024-07-22 00:00:00,600519.SSE,1499.0,SELL
1721692800000000000,2024-07-23 00:00:00,600519.SSE,1455.0,SELL
1721779200000000000,2024-07-24 00:00:00,600519.SSE,1440.02,SELL
1721865600000000000,2024-07-25 00:00:00,600519.SSE,1430.49,SELL
1721952000000000000,2024-07-26 00:00:00,600519.SSE,1422.19,SELL
1722211200000000000,2024-07-29 00:00:00,600519.SSE,1398.02,SELL
1722297600000000000,2024-07-30 00:00:00,600519.SSE,1379.99,SELL
1722384000000000000,2024-07-31 00:00:00,600519.SSE,1421.28,SELL
1722470400000000000,2024-08-01 00:00:00,600519.SSE,1386.16,SELL
1722556800000000000,2024-08-02 00:00:00,600519.SSE,1385.45,SELL
1722816000000000000,2024-08-05 00:00:00,600519.SSE,1410.01,SELL
1722902400000000000,2024-08-06 00:00:00,600519.SSE,1404.7,SELL
1722988800000000000,2024-08-07 00:00:00,600519.SSE,1415.5,SELL
1723075200000000000,2024-08-08 00:00:00,600519.SSE,1430.69,SELL
1723161600000000000,2024-08-09 00:00:00,600519.SSE,1436.8,SELL
1723420800000000000,2024-08-12 00:00:00,600519.SSE,1436.1,SELL
1723507200000000000,2024-08-13 00:00:00,600519.SSE,1423.01,SELL
1723593600000000000,2024-08-14 00:00:00,600519.SSE,1413.3,SELL
1723680000000000000,2024-08-15 00:00:00,600519.SSE,1426.89,SELL
1723766400000000000,2024-08-16 00:00:00,600519.SSE,1431.2,SELL
1724025600000000000,2024-08-19 00:00:00,600519.SSE,1425.44,SELL
1724112000000000000,2024-08-20 00:00:00,600519.SSE,1422.72,SELL
1724198400000000000,2024-08-21 00:00:00,600519.SSE,1417.58,SELL
1724284800000000000,2024-08-22 00:00:00,600519.SSE,1410.05,SELL
1724371200000000000,2024-08-23 00:00:00,600519.SSE,1414.99,SELL
1724630400000000000,2024-08-26 00:00:00,600519.SSE,1412.0,SELL
1724716800000000000,2024-08-27 00:00:00,600519.SSE,1404.07,SELL
1724803200000000000,2024-08-28 00:00:00,600519.SSE,1389.0,SELL
1724889600000000000,2024-08-29 00:00:00,600519.SSE,1413.3,SELL
1724976000000000000,2024-08-30 00:00:00,600519.SSE,1443.19,SELL
1725235200000000000,2024-09-02 00:00:00,600519.SSE,1395.0,SELL
1725321600000000000,2024-09-03 00:00:00,600519.SSE,1410.0,SELL
1725408000000000000,2024-09-04 00:00:00,600519.SSE,1400.0,SELL
1725494400000000000,2024-09-05 00:00:00,600519.SSE,1404.88,SELL
1725580800000000000,2024-09-06 00:00:00,600519.SSE,1398.0,SELL
1725840000000000000,2024-09-09 00:00:00,600519.SSE,1375.0,SELL
1725926400000000000,2024-09-10 00:00:00,600519.SSE,1378.0,SELL
1726012800000000000,2024-09-11 00:00:00,600519.SSE,1380.0,SELL
1726099200000000000,2024-09-12 00:00:00,600519.SSE,1335.06,SELL
1726185600000000000,2024-09-13 00:00:00,600519.SSE,1304.13,SELL
1726617600000000000,2024-09-18 00:00:00,600519.SSE,1266.9,SELL
1726704000000000000,2024-09-19 00:00:00,600519.SSE,1261.0,SELL
1726790400000000000,2024-09-20 00:00:00,600519.SSE,1263.92,SELL
1727049600000000000,2024-09-23 00:00:00,600519.SSE,1261.54,SELL
1727136000000000000,2024-09-24 00:00:00,600519.SSE,1372.6,SELL
1727222400000000000,2024-09-25 00:00:00,600519.SSE,1399.0,SELL
1727308800000000000,2024-09-26 00:00:00,600519.SSE,1529.0,SELL
1727395200000000000,2024-09-27 00:00:00,600519.SSE,1629.2,SELL
1727654400000000000,2024-09-30 00:00:00,600519.SSE,1748.0,SELL
1728345600000000000,2024-10-08 00:00:00,600519.SSE,1723.0,SELL
1728432000000000000,2024-10-09 00:00:00,600519.SSE,1595.15,SELL
1728518400000000000,2024-10-10 00:00:00,600519.SSE,1640.0,SELL
1728604800000000000,2024-10-11 00:00:00,600519.SSE,1604.99,SELL
1728864000000000000,2024-10-14 00:00:00,600519.SSE,1601.99,SELL
1728950400000000000,2024-10-15 00:00:00,600519.SSE,1554.25,SELL
1729036800000000000,2024-10-16 00:00:00,600519.SSE,1522.5,SELL
1729123200000000000,2024-10-17 00:00:00,600519.SSE,1494.6,SELL
1729209600000000000,2024-10-18 00:00:00,600519.SSE,1541.0,SELL
1729468800000000000,2024-10-21 00:00:00,600519.SSE,1528.8,SELL
1729555200000000000,2024-10-22 00:00:00,600519.SSE,1543.0,SELL
1729641600000000000,2024-10-23 00:00:00,600519.SSE,1567.5,SELL
1729728000000000000,2024-10-24 00:00:00,600519.SSE,1552.2,SELL
1729814400000000000,2024-10-25 00:00:00,600519.SSE,1558.85,SELL
1730073600000000000,2024-10-28 00:00:00,600519.SSE,1565.0,SELL
1730160000000000000,2024-10-29 00:00:00,600519.SSE,1531.62,SELL
1730246400000000000,2024-10-30 00:00:00,600519.SSE,1532.0,SELL
1730332800000000000,2024-10-31 00:00:00,600519.SSE,1527.79,SELL
